timestamp,open,high,low,close,volume
1730534400000,2507.34000000,2510.30000000,2495.00000000,2496.00000000,7274.31280000
1730538000000,2495.99000000,2505.00000000,2491.20000000,2497.23000000,5726.19870000
1730541600000,2497.22000000,2502.64000000,2492.89000000,2502.21000000,4233.14260000
1730545200000,2502.20000000,2506.32000000,2499.50000000,2502.13000000,3319.02070000
1730548800000,2502.14000000,2504.50000000,2483.20000000,2488.33000000,10579.84100000
1730552400000,2488.33000000,2498.79000000,2470.00000000,2480.29000000,23065.50940000
1730556000000,2480.29000000,2490.39000000,2476.00000000,2490.28000000,14672.00400000
1730559600000,2490.27000000,2492.25000000,2478.10000000,2488.79000000,7254.81780000
1730563200000,2488.78000000,2497.73000000,2482.68000000,2494.70000000,4857.97330000
1730566800000,2494.71000000,2495.20000000,2480.00000000,2485.90000000,6721.13310000
1730570400000,2485.89000000,2491.58000000,2479.30000000,2487.29000000,4489.01470000
1730574000000,2487.29000000,2494.53000000,2485.55000000,2493.02000000,2542.68610000
1730577600000,2493.01000000,2496.76000000,2491.40000000,2495.60000000,3707.78680000
1730581200000,2495.59000000,2496.60000000,2491.80000000,2493.81000000,2117.03630000
1730584800000,2493.81000000,2497.89000000,2490.30000000,2491.45000000,2795.29780000
1730588400000,2491.44000000,2494.37000000,2485.10000000,2494.23000000,2901.49920000
1730592000000,2494.23000000,2496.39000000,2483.01000000,2483.01000000,3501.21720000
1730595600000,2483.00000000,2486.78000000,2470.78000000,2471.83000000,7628.92250000
1730599200000,2471.82000000,2477.20000000,2426.50000000,2434.60000000,40603.46830000
1730602800000,2434.59000000,2452.53000000,2421.29000000,2449.59000000,15337.14070000
1730606400000,2449.60000000,2463.83000000,2448.29000000,2455.54000000,7221.05290000
1730610000000,2455.53000000,2458.02000000,2441.10000000,2442.54000000,6018.00720000
1730613600000,2442.53000000,2462.84000000,2442.04000000,2456.41000000,5831.94150000
1730617200000,2456.41000000,2459.13000000,2449.38000000,2450.03000000,4959.47690000
1730620800000,2450.03000000,2462.64000000,2443.94000000,2459.04000000,19526.53700000
1730624400000,2459.05000000,2460.06000000,2447.22000000,2449.60000000,7689.65140000
1730628000000,2449.61000000,2461.52000000,2449.60000000,2457.38000000,4365.60410000
1730631600000,2457.37000000,2462.37000000,2451.68000000,2454.47000000,5217.54270000
1730635200000,2454.47000000,2460.60000000,2452.44000000,2454.80000000,3674.00390000
1730638800000,2454.80000000,2457.49000000,2430.50000000,2434.85000000,12483.36870000
1730642400000,2434.86000000,2439.53000000,2418.00000000,2425.12000000,24103.84100000
1730646000000,2425.13000000,2447.40000000,2413.38000000,2442.63000000,20684.20420000
1730649600000,2442.63000000,2459.53000000,2438.10000000,2442.78000000,16013.25300000
1730653200000,2442.78000000,2453.92000000,2442.07000000,2447.16000000,9435.42380000
1730656800000,2447.17000000,2449.20000000,2411.00000000,2425.01000000,17894.16860000
1730660400000,2425.00000000,2453.73000000,2423.80000000,2452.89000000,9564.36960000
1730664000000,2452.89000000,2470.78000000,2447.40000000,2467.64000000,11375.87950000
1730667600000,2467.65000000,2475.52000000,2464.95000000,2470.00000000,9908.07360000
1730671200000,2470.00000000,2474.58000000,2457.36000000,2460.19000000,4178.69460000
1730674800000,2460.16000000,2460.36000000,2447.61000000,2457.73000000,8793.27680000
1730678400000,2457.73000000,2458.00000000,2434.99000000,2450.15000000,7320.32760000
1730682000000,2450.16000000,2474.77000000,2445.71000000,2466.40000000,10345.06950000
1730685600000,2466.40000000,2485.23000000,2462.53000000,2483.80000000,12908.89250000
1730689200000,2483.79000000,2491.39000000,2472.97000000,2473.76000000,6553.21060000
1730692800000,2473.77000000,2482.42000000,2471.20000000,2472.64000000,4992.63020000
1730696400000,2472.65000000,2473.93000000,2460.16000000,2462.45000000,4931.99020000
1730700000000,2462.45000000,2480.73000000,2462.45000000,2477.40000000,5039.11760000
1730703600000,2477.39000000,2479.70000000,2457.21000000,2459.67000000,7671.29660000
1730707200000,2459.68000000,2467.60000000,2451.48000000,2457.92000000,8613.43680000
1730710800000,2457.92000000,2464.87000000,2447.34000000,2457.61000000,6053.37580000
1730714400000,2457.62000000,2472.85000000,2455.44000000,2467.12000000,8122.60530000
1730718000000,2467.12000000,2478.00000000,2463.54000000,2470.20000000,5777.25860000
1730721600000,2470.20000000,2478.60000000,2466.65000000,2476.64000000,10416.01230000
1730725200000,2476.64000000,2486.00000000,2458.65000000,2458.92000000,10719.50360000
1730728800000,2458.93000000,2464.56000000,2445.40000000,2450.35000000,13921.42320000
1730732400000,2450.35000000,2454.94000000,2431.51000000,2442.60000000,21158.41310000
1730736000000,2442.60000000,2446.32000000,2407.91000000,2414.56000000,25881.74120000
1730739600000,2414.55000000,2429.12000000,2405.80000000,2424.99000000,21728.11770000
1730743200000,2424.99000000,2436.20000000,2417.92000000,2425.43000000,8810.32500000
1730746800000,2425.43000000,2436.77000000,2425.20000000,2430.43000000,7012.36930000
1730750400000,2430.42000000,2432.08000000,2419.83000000,2422.70000000,7284.49510000
1730754000000,2422.71000000,2429.69000000,2357.59000000,2371.21000000,58057.91710000
1730757600000,2371.21000000,2414.40000000,2365.81000000,2406.20000000,20734.98220000
1730761200000,2406.20000000,2411.06000000,2392.24000000,2398.21000000,12262.45340000
1730764800000,2398.21000000,2410.80000000,2396.64000000,2401.01000000,14339.03810000
1730768400000,2401.01000000,2413.60000000,2380.74000000,2410.89000000,17088.41220000
